"コード","銘柄名","市場","現在値","前日比(%)","PER(株価収益率)(倍)","PBR(株価純資産倍率)(倍)","ROE(自己資本利益率)(%)","売上高変化率(%)"
"6269","三井海洋開発","東P","4015","-55.0(-1.35%)","8.34","1.56","20.30","17.11"
"6294","オカダアイヨン","東P","2103","+13.0(+0.62%)","8.95","1.05","12.60","14.93"
"6305","日立建機","東P","3883.0","-58.0(-1.47%)","8.85","1.08","13.10","11.15"
"6330","東洋エンジニアリング","東P","693","-5.0(-0.72%)","4.14","0.64","17.40","35.21"
"6340","澁谷工業","東P","3270","-55.0(-1.65%)","9.25","0.90","10.20","17.98"
"6351","鶴見製作所","東P","3260","+160.0(+5.16%)","9.66","0.90","10.00","11.40"
"6361","荏原製作所","東P","2474.0","-78.0(-3.06%)","16.00","2.41","16.20","14.14"
"6363","酉島製作所","東P","2224","-105.0(-4.51%)","9.47","1.13","12.80","25.43"
"6367","ダイキン工業","東P","15700.0","-395.0(-2.45%)","17.66","1.74","10.70","10.39"
"6381","アネスト岩田","東P","1220","-6.0(-0.49%)","9.99","1.10","11.70","10.12"
"6417","ＳＡＮＫＹＯ","東P","2121.5","-61.5(-2.82%)","10.41","1.85","19.30","26.58"
"6418","日本金銭機械","東P","1068","-52.0(-4.64%)","9.49","1.05","11.80","25.15"
"6419","マースグループＨＬＤＧ","東P","3145","-55.0(-1.72%)","6.29","0.79","13.50","79.76"
"6420","フクシマガリレイ","東P","2693","-53.0(-1.93%)","8.75","1.16","14.30","10.30"
"6430","ダイコク電機","東P","2659","-39.0(-1.45%)","4.64","0.97","22.80","69.25"
"6432","竹内製作所","東P","5130","-150.0(-2.84%)","9.35","1.66","19.40","18.81"
"6436","アマノ","東P","3859.0","-140.0(-3.50%)","21.15","2.17","10.60","15.10"
"6457","グローリー","東P","2599.5","-10.0(-0.38%)","4.87","0.64","14.10","45.58"
"6458","新晃工業","東P","1205","-20.0(-1.63%)","13.64","1.46","11.30","15.93"
"6465","ホシザキ","東P","6034.0","+5.0(+0.08%)","23.34","2.36","10.70","19.26"
"6490","ＰＩＬＬＡＲ","東P","3500","-115.0(-3.18%)","7.57","1.17","16.70","20.33"
"6526","ソシオネクスト","東P","2154.0","-146.0(-6.35%)","14.52","2.94","21.70","14.77"
"6535","アイモバイル","東P","479","-4.0(-0.83%)","11.37","1.77","16.40","14.06"
"6560","エル・ティー・エス","東P","2023","-18.0(-0.88%)","9.35","2.02","24.50","35.53"
"6584","三櫻工業","東P","635","-14.0(-2.16%)","5.41","0.51","10.40","13.89"
"6590","芝浦メカトロニクス","東P","8090","-510.0(-5.93%)","12.14","2.74","24.50","10.75"
"6703","沖電気工業","東P","921","-15.0(-1.60%)","3.11","0.57","21.40","14.29"
"6814","古野電気","東P","2234","+10.0(+0.45%)","11.31","1.16","11.00","25.76"
"6841","横河電機","東P","2851.5","-54.0(-1.86%)","12.14","1.70","15.10","18.33"
"6859","エスペック","東P","2301","-23.0(-0.99%)","10.11","0.95","10.00","17.46"
"6905","コーセル","東P","1023","-10.0(-0.97%)","6.56","0.72","11.60","17.50"
