"コード","銘柄名","市場","現在値","前日比(%)","PER(株価収益率)(倍)","PBR(株価純資産倍率)(倍)","ROE(自己資本利益率)(%)","売上高変化率(%)"
"4450","パワーソリューションズ","東G","1345","+0.0(+0.00%)","11.59","1.25","11.30","13.77"
"4486","ユナイトアンドグロウ","東G","1129","-10.0(-0.88%)","11.53","2.18","20.30","11.22"
"4488","ＡＩ　ｉｎｓｉｄｅ","東G","3125","-70.0(-2.19%)","22.97","2.49","11.50","10.21"
"4492","ゼネテック","東S","527","+25.0(+4.98%)","14.46","2.71","20.30","21.89"
"4495","アイキューブドシステムズ","東G","1455","-28.0(-1.89%)","16.54","2.88","18.10","10.66"
"4496","コマースＯｎｅ　ＨＬＤＧ","東G","793","+2.0(+0.25%)","13.78","2.01","15.20","11.29"
"4527","ロート製薬","東P","2170.5","-28.0(-1.27%)","16.01","2.01","13.60","13.48"
"4528","小野薬品工業","東P","1623.0","-12.0(-0.73%)","6.09","0.96","16.70","12.41"
"4552","ＪＣＲファーマ","東P","501","-15.0(-2.91%)","11.35","1.11","10.30","24.83"
"4554","富士製薬工業","東P","1344","-10.0(-0.74%)","5.32","0.72","14.20","12.84"
"4559","ゼリア新薬工業","東P","2111","-8.0(-0.38%)","12.04","1.17","10.70","10.74"
"4578","大塚ＨＬＤＧ","東P","7325.0","-22.0(-0.30%)","11.56","1.44","13.40","15.42"
"4613","関西ペイント","東P","2136.5","-43.5(-2.00%)","7.14","1.44","22.30","10.45"
"4617","中国塗料","東P","2096","-31.0(-1.46%)","10.50","1.47","15.40","16.78"
"4658","日本空調サービス","東P","1002","+7.0(+0.70%)","12.62","1.43","12.10","10.11"
"4664","アール・エス・シー","東S","623","-10.0(-1.58%)","7.41","0.88","12.40","34.33"
"4681","リゾートトラスト","東P","3093.0","-24.0(-0.77%)","20.62","2.52","12.90","18.83"
"4685","菱友システムズ","東S","6440","-190.0(-2.87%)","16.96","2.45","15.40","11.84"
"4712","ＫｅｙＨｏｌｄｅｒ","東S","711","-9.0(-1.25%)","5.35","0.61","11.90","13.00"
"4722","フューチャー","東P","1763","-22.0(-1.23%)","15.13","2.82","19.30","17.79"
"4736","日本ラッド","東S","771","-26.0(-3.26%)","12.24","1.37","11.80","12.07"
"4743","アイティフォー","東P","1304","+22.0(+1.72%)","12.81","1.87","15.40","12.72"
"4752","昭和システムエンジニアリング","東S","1410","+5.0(+0.36%)","9.33","1.24","14.10","12.35"
"4760","アルファ","東S","1505","+5.0(+0.33%)","9.08","0.87","11.30","13.84"
"4763","クリーク・アンド・リバー社","東P","1668","-2.0(-0.12%)","13.80","2.34","18.00","12.87"
"4767","テー・オー・ダブリュー","東S","311","-3.0(-0.96%)","8.96","1.36","15.90","48.66"
"4771","エフアンドエム","東S","1772","-57.0(-3.12%)","16.07","2.23","14.50","17.02"
"4792","山田コンサルティンググループ","東P","1719","-26.0(-1.49%)","11.45","1.97","18.10","34.81"
"4820","イーエムシステムズ","東P","767","+2.0(+0.26%)","22.21","2.58","11.80","22.02"
"4920","日本色材工業研究所","東S","1162","+0.0(+0.00%)","6.12","0.69","12.20","27.97"
"5070","ドラフト","東G","538","-12.0(-2.18%)","8.36","1.33","17.20","14.71"
"5126","ポーターズ","東G","2041","-49.0(-2.34%)","12.13","2.44","22.60","21.17"
"5139","オープンワーク","東G","896","-22.0(-2.40%)","25.19","2.94","12.40","21.20"
"5191","住友理工","東P","1624","-11.0(-0.67%)","9.05","0.86","10.30","13.76"
"5252","日本ナレッジ","東G","998","-7.0(-0.70%)","6.79","1.27","20.40","14.83"
"5257","ノバシステム","東S","2960","-29.0(-0.97%)","10.52","1.86","19.60","19.16"
"5261","リソルＨＬＤＧ","東P","5520","-60.0(-1.08%)","21.72","2.10","10.00","16.57"
"5285","ヤマックス","東S","1629","-8.0(-0.49%)","12.10","2.24","20.30","15.39"
"5304","ＳＥＣカーボン","東S","2170","-21.0(-0.96%)","6.04","0.61","10.80","22.72"
"5351","品川リフラクトリーズ","東P","1748","-8.0(-0.46%)","5.32","0.95","20.20","15.37"
"5401","日本製鉄","東P","3329.0","-46.0(-1.36%)","5.58","0.64","12.30","11.19"
"5530","日本システムバンク","名M","-","- (-%)","6.38","0.82","13.50","10.55"
"5532","リアルゲイト","東G","2512","-78.0(-3.01%)","18.51","2.62","15.30","14.00"
"5535","ミガロＨＬＤＧ","東P","1670","-470.0(-21.96%)","21.83","2.35","11.20","14.53"
"5576","オービーシステム","東S","2337","+0.0(+0.00%)","12.11","1.14","10.30","11.89"
"5577","アイデミー","東G","650","-2.0(-0.31%)","11.96","2.21","18.40","27.19"
"5579","ＧＳＩ","札","-","- (-%)","8.77","1.34","15.60","10.06"
"5587","インバウンドプラットフォーム","東G","775","-2.0(-0.26%)","20.97","2.22","11.30","12.34"
"5699","イボキン","東S","1252","-3.0(-0.24%)","7.95","0.91","12.20","11.50"
"5721","エス・サイエンス","東S","25","+0.0(+0.00%)","8.31","1.18","15.10","13.51"
