"コード","銘柄名","市場","現在値","前日比(%)"
"3566","ユニフォームネクスト","東G","506","+2.0(+0.40%)"
"3622","ネットイヤーグループ","東G","534","+4.0(+0.75%)"
"3623","ビリングシステム","東G","1176","-24.0(-2.00%)"
"3624","アクセルマーク","東G","156","-10.0(-6.02%)"
"3625","テックファームＨＬＤＧ","東G","695","-7.0(-1.00%)"
"3628","データホライゾン","東G","774","+100.0(+14.84%)"
"3645","メディカルネット","東G","310","-2.0(-0.64%)"
"3646","駅探","東G","356","-3.0(-0.84%)"
"3652","ディジタルメディアプロ","東G","1717","-76.0(-4.24%)"
"3653","モルフォ","東G","1311","-68.0(-4.93%)"
"3664","モブキャストＨＬＤＧ","東G","32","-1.0(-3.03%)"
"3671","ソフトマックス","東G","849","-9.0(-1.05%)"
"3674","オークファン","東G","382","-3.0(-0.78%)"
"3680","ホットリンク","東G","250","-7.0(-2.72%)"
"3690","イルグルム","東G","563","-10.0(-1.75%)"
"3691","デジタルプラス","東G","720","+17.0(+2.42%)"
"3692","ＦＦＲＩセキュリティ","東G","2461","-182.0(-6.89%)"
"3695","ＧＭＯリサーチ＆ＡＩ","東G","2597","-27.0(-1.03%)"
"3698","ＣＲＩ・ミドルウェア","東G","919","-7.0(-0.76%)"
"3723","日本ファルコム","東G","1134","+20.0(+1.80%)"
"3727","アプリックス","東G","141","-1.0(-0.70%)"
"3773","アドバンスト・メディア","東G","845","-26.0(-2.99%)"
"3777","環境フレンドリーＨＬＤＧ","東G","34","-1.0(-2.86%)"
"3793","ドリコム","東G","878","-70.0(-7.38%)"
"3803","イメージ情報開発","東G","485","+0.0(+0.00%)"
"3807","フィスコ","東G","142","-8.0(-5.33%)"
"3814","アルファクス・フード・システム","東G","350","-7.0(-1.96%)"
"3815","メディア工房","東G","513","+2.0(+0.39%)"
"3900","クラウドワークス","東G","1165","-15.0(-1.27%)"
"3904","カヤック","東G","437","+1.0(+0.23%)"
"3905","データセクション","東G","755","-37.0(-4.67%)"
"3907","シリコンスタジオ","東G","746","-3.0(-0.40%)"
"3908","コラボス","東G","310","-5.0(-1.59%)"
"3911","Ａｉｍｉｎｇ","東G","242","-7.0(-2.81%)"
"3913","ＧｒｅｅｎＢｅｅ","東G","597","+5.0(+0.84%)"
"3914","ＪＩＧ―ＳＡＷ","東G","3055","-65.0(-2.08%)"
"3917","アイリッジ","東G","552","-18.0(-3.16%)"
"3927","フーバーブレイン","東G","652","-19.0(-2.83%)"
"3929","ソーシャルワイヤー","東G","228","-4.0(-1.72%)"
"3930","はてな","東G","1202","-46.0(-3.69%)"
"3931","バリューゴルフ","東G","988","-3.0(-0.30%)"
"3936","グローバルウェイ","東G","107","-5.0(-4.46%)"
"3961","シルバーエッグ・テクノロジー","東G","701","-22.0(-3.04%)"
"3967","エルテス","東G","722","-11.0(-1.50%)"
"3970","イノベーション","東G","1196","-10.0(-0.83%)"
"3976","シャノン","東G","400","-17.0(-4.08%)"
"3979","うるる","東G","1689","+73.0(+4.52%)"
"3986","ビーブレイクシステムズ","東G","-","- (-%)"
"3987","エコモット","東G","336","-9.0(-2.61%)"
"3989","シェアリングテクノロジー","東G","1022","+10.0(+0.99%)"
"3991","ウォンテッドリー","東G","1210","-23.0(-1.87%)"
"3998","すららネット","東G","348","+0.0(+0.00%)"
"4011","ヘッドウォータース","東G","4405","-205.0(-4.45%)"
"4013","勤次郎","東G","506","-14.0(-2.69%)"
"4014","カラダノート","東G","461","+7.0(+1.54%)"
"4015","ペイクラウドＨＬＤＧ","東G","551","-1.0(-0.18%)"
"4017","クリーマ","東G","266","-1.0(-0.37%)"
"4019","スタメン","東G","782","-37.0(-4.52%)"
