"コード","銘柄名","市場","現在値","前日比(%)"
"1490","上場ＭＳＣＩベータヘッジ","東ETF","-","- (-%)"
"1491","中外鉱業","東S","62","-1.0(-1.59%)"
"1493","Ｏｎｅ　ＪＰＸ日経中小型","東ETF","18965.0","-235.0(-1.22%)"
"1494","Ｏｎｅ高配当日本株","東ETF","31060.0","-140.0(-0.45%)"
"1495","上場アジアリート","東ETF","9752.0","-128.0(-1.30%)"
"1496","ｉＳ米ドルＩＧ社債ヘッジ","東ETF","1779.0","+1.0(+0.06%)"
"1497","ｉＳ米ドルＨＹ社債ヘッジ","東ETF","1847.0","+0.0(+0.00%)"
"1498","Ｏｎｅ　ＥＴＦ　ＥＳＧ","東ETF","21170.0","-450.0(-2.08%)"
"1499","ＭＸＳ日本株高配当７０ＭＮ","東ETF","9280.0","+65.0(+0.71%)"
"149A","シンカ","東G","840","-13.0(-1.52%)"
"150A","ＪＳＨ","東G","593","-1.0(-0.17%)"
"1514","住石ＨＬＤＧ","東S","743","-19.0(-2.49%)"
"1515","日鉄鉱業","東P","5840","+80.0(+1.39%)"
"1518","三井松島ＨＬＤＧ","東P","4110","-5.0(-0.12%)"
"151A","ダイブ","東G","944","+52.0(+5.83%)"
"153A","カウリス","東G","1273","-29.0(-2.23%)"
"1540","純金上場信託","東ETF","12995.0","-200.0(-1.52%)"
"1541","純プラチナ上場信託","東ETF","4230.0","-45.0(-1.05%)"
"1542","純銀上場信託","東ETF","13875.0","-215.0(-1.53%)"
"1543","純パラジウム上場信託","東ETF","40800.0","-870.0(-2.09%)"
"1545","ＮＦ　ＮＡＳＤＡＱ―１００ヘな","東ETF","31270.0","-850.0(-2.65%)"
"1546","ＮＦダウ・ジョーンズ工業株３０","東ETF","63320.0","-210.0(-0.33%)"
"1547","上場米国株式Ｓ＆Ｐ５００","東ETF","9593.0","-107.0(-1.10%)"
"1550","ＭＸＳ外株（ＭＳＣＩコクサイ）","東ETF","5884.0","-91.0(-1.52%)"
"1551","東証スタンダードＴＯＰ２０","東ETF","5318.0","-37.0(-0.69%)"
"1553","ＭＡＸＩＳ　Ｓ＆Ｐ東海上場投信","名ETF","3516.0","-64.0(-1.79%)"
"1554","上場ＭＳＣＩ世界株式除く日本","東ETF","4805.0","-64.0(-1.31%)"
"1555","上場豪州リート","東ETF","2099.0","-37.5(-1.76%)"
"1557","ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ","東ETF","87970.0","-1,210.0(-1.36%)"
"1559","ＮＦタイ株式ＳＥＴ５０指数","東ETF","3285.0","-100.0(-2.95%)"
"155A","情報戦略テクノロジー","東G","439","-9.0(-2.01%)"
"1560","ＮＦ　ＦＴＳＥブルサＫＬＣＩ","東ETF","5300.0","+30.0(+0.57%)"
"1563","東証グロース・コアＥＴＦ","東ETF","2390.0","-80.0(-3.24%)"
"1566","上場新興国債券","東ETF","48720.0","+120.0(+0.25%)"
"1568","ＴＯＰＩＸブル２倍上場投信","東ETF","455.3","-9.4(-2.02%)"
"1569","ＴＯＰＩＸベア上場投信","東ETF","1252.0","+21.5(+1.75%)"
"156A","マテリアルグループ","東G","646","-9.0(-1.37%)"
"1570","ＮＦ日経レバ連動型上場投信","東ETF","24280.0","-1,510.0(-5.85%)"
"1571","ＮＦ日経インバ連動型上場投信","東ETF","605.0","+15.0(+2.54%)"
"1572","中国Ｈ株ブル２倍上場投信","東ETF","7059.0","-627.0(-8.16%)"
"1573","中国Ｈ株ベア上場投信","東ETF","8494.0","+412.0(+5.10%)"
"1577","ＮＦ野村日本株高配当７０連動型","東ETF","38180.0","-370.0(-0.96%)"
"1578","上場日経２２５（ミニ）","東ETF","2975.0","-80.0(-2.62%)"
"1579","日経平均ブル２倍上場投信","東ETF","261.0","-16.0(-5.78%)"
"157A","グリーンモンスター","東G","525","-4.0(-0.76%)"
"1580","日経平均ベア上場投信","東ETF","1608.5","+47.0(+3.01%)"
"1585","ｉＦＴＰＸ　Ｅｘ−Ｆｉｎ","東ETF","1805.0","+0.0(+0.00%)"
"1586","上場ＴＯＰＩＸ　Ｅｘ−Ｆｉｎ","東ETF","2100.0","-25.0(-1.18%)"
"1591","ＮＦ　ＪＰＸ日経４００連動型","東ETF","24470.0","-430.0(-1.73%)"
"1592","上場ＪＰＸ日経４００","東ETF","2235.0","-35.0(-1.54%)"
"1593","ＭＡＸＩＳ　ＪＰＸ日経４００","東ETF","25000.0","-405.0(-1.59%)"
"1595","ＮＺＡＭ東証ＲＥＩＴ指数","東ETF","1730.0","-19.0(-1.09%)"
"1596","ＮＺＡＭ　ＴＯＰＩＸ　Ｅｘ−Ｆ","東ETF","2161.5","+0.0(+0.00%)"
"1597","ＭＡＸＩＳ　Ｊリート上場投信","東ETF","1756.0","-20.5(-1.15%)"
"1599","ｉＦ　ＪＰＸ日経４００","東ETF","24600.0","-500.0(-1.99%)"
"159A","ＮＦ　ＪＰＸプライム１５０","東ETF","520.0","+4.7(+0.91%)"
"1605","ＩＮＰＥＸ","東P","1906.5","+7.5(+0.39%)"
"160A","アズパートナーズ","東S","1825","-9.0(-0.49%)"
"1615","ＮＦ銀行業指数投信","東ETF","393.8","-7.2(-1.80%)"
"1617","ＮＦ食品ＴＰＸ１７","東ETF","36060.0","+60.0(+0.17%)"
"1618","ＮＦエネルギー資源ＴＰＸ１７","東ETF","21030.0","+170.0(+0.81%)"
"1619","ＮＦ建設・資材ＴＰＸ１７","東ETF","30560.0","-190.0(-0.62%)"
"1620","ＮＦ素材・化学ＴＰＸ１７","東ETF","27690.0","-380.0(-1.35%)"
"1621","ＮＦ医薬品ＴＰＸ１７","東ETF","25775.0","-120.0(-0.46%)"
"1622","ＮＦ自動車・輸送機ＴＰＸ１７","東ETF","29750.0","-750.0(-2.46%)"
"1623","ＮＦ鉄鋼・非鉄ＴＰＸ１７","東ETF","27315.0","-535.0(-1.92%)"
"1624","ＮＦ機械ＴＰＸ１７","東ETF","54770.0","-1,750.0(-3.10%)"
"1625","ＮＦ電機・精密ＴＰＸ１７","東ETF","37560.0","-1,130.0(-2.92%)"
"1626","ＮＦ情報通信サービスＴＰＸ１７","東ETF","37190.0","-690.0(-1.82%)"
"1627","ＮＦ電力・ガスＴＰＸ１７","東ETF","8143.0","-31.0(-0.38%)"
"1628","ＮＦ運輸・物流ＴＰＸ１７","東ETF","18570.0","-175.0(-0.93%)"
"1629","ＮＦ商社・卸売ＴＰＸ１７","東ETF","76970.0","-1,440.0(-1.84%)"
"162A","ＡＩセレクトメガトレンドＥＴＮ","東ETF","9922.0","-308.0(-3.01%)"
"1630","ＮＦ小売ＴＰＸ１７","東ETF","30440.0","-330.0(-1.07%)"
